Data;Dia;Hora;BTN A;BTN B;BTN C;IP
14/set/2023;qui;13:15;0,0385549;0,0318238;0,0284575;0,0000003
14/set/2023;qui;13:30;0,0385741;0,0316654;0,0279215;0,0000003
14/set/2023;qui;13:45;0,0387938;0,0316255;0,0274964;0,0000003
14/set/2023;qui;14:00;0,0393723;0,0316399;0,0272353;0,0000003
14/set/2023;qui;14:15;0,0399382;0,0316503;0,0270529;0,0000003
14/set/2023;qui;14:30;0,0404448;0,0317497;0,0268718;0,0000003
14/set/2023;qui;14:45;0,0405940;0,0317872;0,0266308;0,0000003
14/set/2023;qui;15:00;0,0405516;0,0317098;0,0264130;0,0000003
14/set/2023;qui;15:15;0,0403385;0,0314665;0,0261897;0,0000003
14/set/2023;qui;15:30;0,0400534;0,0312004;0,0260529;0,0000003
14/set/2023;qui;15:45;0,0397413;0,0309251;0,0259306;0,0000003
14/set/2023;qui;16:00;0,0394123;0,0307127;0,0259001;0,0000003
14/set/2023;qui;16:15;0,0391193;0,0306033;0,0258964;0,0000003
14/set/2023;qui;16:30;0,0387777;0,0305439;0,0259294;0,0000003
14/set/2023;qui;16:45;0,0384368;0,0305419;0,0260248;0,0000003
14/set/2023;qui;17:00;0,0378869;0,0305275;0,0262407;0,0000003
14/set/2023;qui;17:15;0,0373238;0,0305128;0,0265573;0,0000003
14/set/2023;qui;17:30;0,0366747;0,0305559;0,0269527;0,0000003
14/set/2023;qui;17:45;0,0361032;0,0306049;0,0274155;0,0000003
14/set/2023;qui;18:00;0,0353591;0,0306426;0,0279963;0,0000003
14/set/2023;qui;18:15;0,0346230;0,0306579;0,0287253;0,0000003
14/set/2023;qui;18:30;0,0339745;0,0307090;0,0296322;0,0000003
14/set/2023;qui;18:45;0,0335927;0,0308609;0,0307103;0,0000003
14/set/2023;qui;19:00;0,0333046;0,0310429;0,0319698;0,0000003
14/set/2023;qui;19:15;0,0329780;0,0312988;0,0333890;0,0000003
14/set/2023;qui;19:30;0,0325748;0,0315761;0,0348742;0,0000003
14/set/2023;qui;19:45;0,0322645;0,0318783;0,0362871;0,0005427
14/set/2023;qui;20:00;0,0319718;0,0320349;0,0374252;0,0143683
14/set/2023;qui;20:15;0,0316820;0,0320399;0,0379853;0,0490929
14/set/2023;qui;20:30;0,0313050;0,0318153;0,0378876;0,0611894
14/set/2023;qui;20:45;0,0308798;0,0314147;0,0372059;0,0612903
14/set/2023;qui;21:00;0,0304038;0,0309594;0,0363708;0,0612903
14/set/2023;qui;21:15;0,0298956;0,0305656;0,0355316;0,0612903
14/set/2023;qui;21:30;0,0293628;0,0303123;0,0347378;0,0612903
14/set/2023;qui;21:45;0,0288122;0,0300031;0,0338467;0,0612903
14/set/2023;qui;22:00;0,0282112;0,0295778;0,0328788;0,0612903
14/set/2023;qui;22:15;0,0275773;0,0289862;0,0318814;0,0612903
14/set/2023;qui;22:30;0,0268951;0,0282790;0,0309048;0,0612903
14/set/2023;qui;22:45;0,0262045;0,0275221;0,0299137;0,0612903
14/set/2023;qui;23:00;0,0254410;0,0266834;0,0288305;0,0612903
14/set/2023;qui;23:15;0,0246545;0,0258253;0,0276508;0,0612903
14/set/2023;qui;23:30;0,0238482;0,0248901;0,0264644;0,0612903
14/set/2023;qui;23:45;0,0231758;0,0241195;0,0254330;0,0612903
14/set/2023;qui;24:00;0,0222972;0,0230859;0,0242524;0,0612903
15/set/2023;sex;00:15;0,0214897;0,0220429;0,0231055;0,0612903
15/set/2023;sex;00:30;0,0206971;0,0208917;0,0219297;0,0612903
15/set/2023;sex;00:45;0,0202297;0,0201262;0,0210299;0,0612903
15/set/2023;sex;01:00;0,0198355;0,0195365;0,0202077;0,0612903
15/set/2023;sex;01:15;0,0195055;0,0189861;0,0194432;0,0612903
15/set/2023;sex;01:30;0,0192258;0,0185207;0,0188034;0,0612903
15/set/2023;sex;01:45;0,0189725;0,0180492;0,0182561;0,0612903
15/set/2023;sex;02:00;0,0187363;0,0177459;0,0178057;0,0612903
15/set/2023;sex;02:15;0,0185440;0,0174482;0,0174311;0,0612903
15/set/2023;sex;02:30;0,0183720;0,0172219;0,0171016;0,0612903
15/set/2023;sex;02:45;0,0182411;0,0169934;0,0168183;0,0612903
15/set/2023;sex;03:00;0,0181698;0,0168393;0,0165862;0,0612903
15/set/2023;sex;03:15;0,0181283;0,0167136;0,0164168;0,0612903
15/set/2023;sex;03:30;0,0181048;0,0165983;0,0163008;0,0612903
15/set/2023;sex;03:45;0,0180791;0,0164563;0,0162031;0,0612903
15/set/2023;sex;04:00;0,0181212;0,0163932;0,0161205;0,0612903
15/set/2023;sex;04:15;0,0181886;0,0163416;0,0160531;0,0612903
15/set/2023;sex;04:30;0,0182620;0,0163444;0,0160062;0,0612903
15/set/2023;sex;04:45;0,0182961;0,0163259;0,0160469;0,0612903
15/set/2023;sex;05:00;0,0184245;0,0163854;0,0161209;0,0612903
15/set/2023;sex;05:15;0,0186026;0,0165748;0,0162339;0,0612903
15/set/2023;sex;05:30;0,0188358;0,0167698;0,0163427;0,0612903
15/set/2023;sex;05:45;0,0190189;0,0170694;0,0165342;0,0612903
15/set/2023;sex;06:00;0,0193889;0,0174457;0,0168756;0,0612903
15/set/2023;sex;06:15;0,0198103;0,0179401;0,0173577;0,0611320
15/set/2023;sex;06:30;0,0203688;0,0184777;0,0180384;0,0599240
15/set/2023;sex;06:45;0,0210028;0,0191274;0,0188485;0,0542238
15/set/2023;sex;07:00;0,0219170;0,0201004;0,0198470;0,0315319
15/set/2023;sex;07:15;0,0229381;0,0212489;0,0208443;0,0102750
15/set/2023;sex;07:30;0,0240923;0,0223793;0,0218597;0,0001114
15/set/2023;sex;07:45;0,0254320;0,0233075;0,0227062;0,0000003
15/set/2023;sex;08:00;0,0272404;0,0241343;0,0234103;0,0000003
15/set/2023;sex;08:15;0,0290829;0,0248652;0,0239425;0,0000003
15/set/2023;sex;08:30;0,0309019;0,0255852;0,0244025;0,0000003
15/set/2023;sex;08:45;0,0324299;0,0262445;0,0247629;0,0000003
15/set/2023;sex;09:00;0,0340361;0,0271097;0,0250784;0,0000003
15/set/2023;sex;09:15;0,0354376;0,0279168;0,0253816;0,0000003
15/set/2023;sex;09:30;0,0366344;0,0286403;0,0256672;0,0000003
15/set/2023;sex;09:45;0,0375088;0,0291007;0,0258580;0,0000003
15/set/2023;sex;10:00;0,0381848;0,0296442;0,0259505;0,0000003
15/set/2023;sex;10:15;0,0387987;0,0301329;0,0260270;0,0000003
15/set/2023;sex;10:30;0,0393146;0,0304862;0,0261686;0,0000003
15/set/2023;sex;10:45;0,0397901;0,0306642;0,0263445;0,0000003
15/set/2023;sex;11:00;0,0401833;0,0308530;0,0265842;0,0000003
15/set/2023;sex;11:15;0,0406086;0,0311396;0,0268846;0,0000003
15/set/2023;sex;11:30;0,0410445;0,0315019;0,0272636;0,0000003
15/set/2023;sex;11:45;0,0413970;0,0319868;0,0277613;0,0000003
15/set/2023;sex;12:00;0,0414090;0,0325494;0,0283400;0,0000003
15/set/2023;sex;12:15;0,0411111;0,0328508;0,0288899;0,0000003
15/set/2023;sex;12:30;0,0402880;0,0327957;0,0292283;0,0000003
15/set/2023;sex;12:45;0,0394753;0,0324509;0,0291982;0,0000003
15/set/2023;sex;13:00;0,0387479;0,0320383;0,0288560;0,0000003
15/set/2023;sex;13:15;0,0384778;0,0317170;0,0283034;0,0000003
15/set/2023;sex;13:30;0,0385113;0,0315494;0,0277649;0,0000003
15/set/2023;sex;13:45;0,0387391;0,0315078;0,0273279;0,0000003
15/set/2023;sex;14:00;0,0393245;0,0315316;0,0270601;0,0000003
15/set/2023;sex;14:15;0,0398841;0,0315508;0,0268753;0,0000003
15/set/2023;sex;14:30;0,0403880;0,0316552;0,0267071;0,0000003
15/set/2023;sex;14:45;0,0405357;0,0316911;0,0264668;0,0000003
15/set/2023;sex;15:00;0,0404975;0,0316095;0,0262485;0,0000003
15/set/2023;sex;15:15;0,0402858;0,0313654;0,0260274;0,0000003
15/set/2023;sex;15:30;0,0400001;0,0310955;0,0258976;0,0000003
15/set/2023;sex;15:45;0,0396917;0,0308180;0,0257775;0,0000003
15/set/2023;sex;16:00;0,0393663;0,0306063;0,0257480;0,0000003
15/set/2023;sex;16:15;0,0390796;0,0305084;0,0257628;0,0000003
15/set/2023;sex;16:30;0,0387399;0,0304650;0,0258168;0,0000003
15/set/2023;sex;16:45;0,0383994;0,0304727;0,0259153;0,0000003
15/set/2023;sex;17:00;0,0378432;0,0304532;0,0261244;0,0000003
15/set/2023;sex;17:15;0,0372697;0,0304373;0,0264351;0,0000003
15/set/2023;sex;17:30;0,0366051;0,0304854;0,0268438;0,0000003
15/set/2023;sex;17:45;0,0360254;0,0305317;0,0273155;0,0000003
15/set/2023;sex;18:00;0,0352792;0,0305656;0,0279079;0,0000003
15/set/2023;sex;18:15;0,0345416;0,0305785;0,0286490;0,0000003
15/set/2023;sex;18:30;0,0338857;0,0306261;0,0295750;0,0000003
15/set/2023;sex;18:45;0,0334925;0,0307702;0,0306864;0,0000003
15/set/2023;sex;19:00;0,0332037;0,0309480;0,0319881;0,0000003
15/set/2023;sex;19:15;0,0328832;0,0312169;0,0334460;0,0000003
15/set/2023;sex;19:30;0,0324919;0,0315151;0,0349507;0,0000003
15/set/2023;sex;19:45;0,0321880;0,0318394;0,0363745;0,0014076
15/set/2023;sex;20:00;0,0318890;0,0320136;0,0375047;0,0173652
15/set/2023;sex;20:15;0,0315801;0,0320166;0,0380302;0,0519257
15/set/2023;sex;20:30;0,0311768;0,0317727;0,0378694;0,0612538
15/set/2023;sex;20:45;0,0307290;0,0313467;0,0371395;0,0612903
15/set/2023;sex;21:00;0,0302382;0,0308690;0,0362920;0,0612903
15/set/2023;sex;21:15;0,0297219;0,0304664;0,0354636;0,0612903
15/set/2023;sex;21:30;0,0291834;0,0302102;0,0346695;0,0612903
15/set/2023;sex;21:45;0,0286310;0,0299189;0,0337658;0,0612903
15/set/2023;sex;22:00;0,0280266;0,0295061;0,0327787;0,0612903
15/set/2023;sex;22:15;0,0273899;0,0289214;0,0317795;0,0612903
15/set/2023;sex;22:30;0,0267070;0,0281902;0,0307965;0,0612903
15/set/2023;sex;22:45;0,0260176;0,0274164;0,0297959;0,0612903
15/set/2023;sex;23:00;0,0252575;0,0265739;0,0286969;0,0612903
15/set/2023;sex;23:15;0,0244706;0,0257230;0,0274979;0,0612903
15/set/2023;sex;23:30;0,0236654;0,0247820;0,0262927;0,0612903
15/set/2023;sex;23:45;0,0231644;0,0240431;0,0253279;0,0612903
15/set/2023;sex;24:00;0,0228226;0,0234018;0,0245365;0,0612903
16/set/2023;sáb;00:15;0,0226252;0,0229020;0,0238734;0,0612903
16/set/2023;sáb;00:30;0,0223078;0,0222305;0,0231169;0,0612903
16/set/2023;sáb;00:45;0,0219158;0,0216294;0,0223769;0,0612903
16/set/2023;sáb;01:00;0,0214977;0,0209426;0,0216065;0,0612903
16/set/2023;sáb;01:15;0,0210622;0,0203163;0,0208513;0,0612903
16/set/2023;sáb;01:30;0,0206962;0,0197500;0,0201329;0,0612903
16/set/2023;sáb;01:45;0,0203470;0,0192298;0,0195151;0,0612903
16/set/2023;sáb;02:00;0,0200259;0,0188638;0,0189759;0,0612903
16/set/2023;sáb;02:15;0,0197329;0,0184608;0,0185616;0,0612903
16/set/2023;sáb;02:30;0,0194796;0,0182056;0,0181865;0,0612903
16/set/2023;sáb;02:45;0,0192926;0,0179179;0,0178702;0,0612903
16/set/2023;sáb;03:00;0,0191672;0,0177097;0,0175539;0,0612903
16/set/2023;sáb;03:15;0,0190735;0,0174935;0,0173009;0,0612903
16/set/2023;sáb;03:30;0,0189813;0,0173153;0,0171166;0,0612903
16/set/2023;sáb;03:45;0,0188922;0,0171335;0,0170048;0,0612903
16/set/2023;sáb;04:00;0,0188469;0,0170359;0,0169051;0,0612903
16/set/2023;sáb;04:15;0,0188612;0,0169816;0,0168400;0,0612903
16/set/2023;sáb;04:30;0,0189049;0,0169718;0,0167598;0,0612903
16/set/2023;sáb;04:45;0,0189256;0,0168955;0,0167324;0,0612903
